10:15:34, 256, 92, 8508, -1002, 368, 2066 
10:15:34, 196, 96, 8376, -820, 360, 2088 
10:15:34, 148, 248, 8388, -680, 377, 2105 
10:15:34, 60, 300, 8292, -581, 395, 2137 
10:15:34, 96, 280, 8336, -526, 337, 2158 
10:15:34, 228, 236, 8428, -453, 273, 2209 
10:15:34, 328, 164, 8512, -367, 213, 2214 
10:15:34, 348, 96, 8460, -244, 142, 2110 
10:15:34, 440, -16, 8448, -118, 121, 1975 
10:15:34, 552, 108, 8264, -4, 28, 1856 
10:15:34, 548, 240, 8252, 45, -14, 1872 
10:15:34, 548, 244, 8284, 75, -34, 1894 
10:15:34, 480, 104, 8168, 100, -91, 2081 
10:15:34, 480, -44, 8048, 117, -122, 2199 
10:15:34, 416, -156, 8052, 202, -102, 2197 
10:15:34, 400, -220, 8052, 341, -110, 2072 
10:15:34, 512, -228, 8080, 458, -64, 1909 
10:15:34, 544, -88, 8132, 557, -82, 1809 
10:15:34, 460, 56, 8220, 632, -99, 1790 
10:15:34, 476, 248, 8400, 660, -138, 1759 
10:15:34, 536, 300, 8536, 682, -138, 1781 
10:15:34, 648, 232, 8484, 663, -109, 1822 
10:15:34, 576, 148, 8448, 702, -78, 1803 
10:15:34, 604, 56, 8452, 678, -61, 1754 
10:15:34, 736, 8, 8520, 675, -55, 1640 
10:15:34, 704, -20, 8616, 680, -24, 1572 
10:15:34, 704, 176, 8796, 698, -5, 1516 
10:15:34, 620, 152, 8784, 761, 9, 1461 
10:15:34, 660, 216, 8816, 780, 6, 1459 
10:15:34, 664, 240, 8732, 792, 30, 1447 
10:15:34, 624, 184, 8820, 758, 64, 1458 
10:15:34, 648, 248, 8840, 774, 45, 1438 
10:15:34, 556, 264, 8840, 714, 53, 1380 
10:15:34, 500, 344, 8896, 621, 62, 1250 
10:15:34, 472, 252, 8992, 575, 99, 1160 
10:15:34, 460, 248, 8996, 479, 94, 1042 
10:15:34, 440, 168, 8916, 356, 78, 895 
